,text,label
17,"Dettol Soap Is One Of The Most Trusted & Popular Soap Brand Available In The Market.
Dettol Soap Kills Germs & Takes Good Care Of Skin-Body. It Is Stable, Its Fragrance Is Very Nice. My Whole Family Use Dettol Soap & They Love It...!",1
18,"অনেক ভালো প্রডাক্ট,সময় মতো পেয়েছি। 

যে ভাইটি ডেলিভারি করে তার ব্যবহারও অনেক ভালো। 

ধন্যবাদ দারাজকে।",1
19,ডেটল সাবান গুলা ভালো । ভিন্ন ভিন্ন ফ্লেবার এর জন্য ভালো লাগে। তাই সব ফ্লেবার গুলা ব্যাবহার করে দেখি। ডেট যা আসে যথেষ্ঠ,1
20,"মাত্র ৭৮ টাকার অর্ডার সাথে ফ্রি পন্স ক্রিম যার মূল্য দেয়া আছে ২০০ টাকা, ফ্রি দেয়ার কারণ আমার যা মনে হয়, মেয়াদ হচ্ছে ১৮/০৪/২০২১, ধন্যবাদ দারাজ ও সেলার",1
21,"ভাল স্মেল এই সাবানের।ভালো ছিলো সব।

প্যাকেজিং ভালো ছিলো ও যথেষ্ট মেয়াদ ছিলো। 
& ফাস্ট ডেলিভারি। 
Visit """"Bayzid's TechValley"""" on Youtube, for Unboxing & tech related Videos",1
22, খুব ভালো সাবান এই সাবানের স্মেল খুব ভালো লাগে ডেটল অরিজিনাল এর চেয়ে যারা ডেটল অরিজিনাল এর স্মেল সহ করতে পারেন না তারা নিশ্চিন্তে ডেটল অ্যালোভেরা নিতে পারেন যথেষ্ট ভালো ভাবে প্যাকেজিং করে পাঠায় সেলার দারাজ এর কার্টুন বক্সে প্যাক করা থাকে যথেষ্ট ফাস্ট ডেলিভারি,1
23,এইটার স্মেলটা অনেক সুন্দর। এছাড়া ডেটলের জিনিস নিয়ে আলাদা করে কিছু বলার নাই। প্যাকেজিং ভাল ছিল। কয়েকটা একসাথে নিয়েছি তাই একটা বেবি সোপ গিফট দিয়েছে 😊,1
24,"GOOD ONE.
ONLY 32 BDT.
RECOMENDED",1
25,"all are given wrong product and some missing. delivery time 18days.. serioulsy!!🤬... etodin por.. ey fake and wrong product. 
very bad service.",0
26,সাবান ঠিকঠাক পেয়েছি। এর সাথে বডিওয়াশ অর্ডার দিয়েছিলাম কিন্তু লোফা দেয়নি। ডেটল সেলারের সার্ভিস দিন দিন খারাপ হয়ে যাচ্ছে খুবই দুঃখজনক।,0
27,onak baja obustha silo packet ar.chira and fata and chap khowa. harpic ar bottle fata shaban gola gasa.,0
28,delivery charge +korle dam ank beshi pore,0
29,খুব বাজে ভাবে প্যাক করা যে ভিজে গেছে।,0
30,"got delivery in 2 days🥰
using for few days...its good
bt its 95 gm...I cut it into 8 piece...big enough",1
31,6th time purchase. Great facial cleanser.,1
32,"Delivery Late paise but, products are good.and expire date are also good.",1
33,"গোড়া থেকে ময়লা দূর, তেল দূর করনে,স্কিনের বদ্ধ ময়লা পরিস্কারে খুব কার্যকর 
সাবানটি যথেষ্ট শক্ত, এতে সহজে গলে পড়ার সম্ভাবনা নেই।
আমার ভাই বোন আমি সবাই খুশি,,আমাদের সবার তৈলাক্ত স্কিন।।।",1
34,"Rivana এর প্রত্যেকটা  product e always best 🥰
 2nd time carbon soap order korlam..taw akbare 2ta😁
obviously better results ar fol aita😍
নিঃসন্দেহে authentic product❤️",1
35,Thank You Ribana for amazing Organic activated carbon soap.♥️♥️,1
36,This is 5th time...so nothing to say about. just awesome.,1
37,Such a great product for oily skin. Like it so much.,1
38,Finally delivery late hole o product thikthak peyechi alhamdulillah. asha kori trust er jaygata all time eivabei thakbe tnx Daraz & Ribana,1
39,Packaging khub valo chilo. 2 din er moddhei product peye giyechi. Thank you Daraz. Ei soap ta ami shokale ghum theke uthe and raate ghumate jaowar age use kori. Khub e valo soap ti. Valo result paoar jonno regular use korte hobe. Thank you Ribana. ,1
40,"Ribanar product quality niye kichu bolar nei,just awesome, carbon soap ta ei prothom bar nilam.
fast delivery chilo",1
41,Tnx daraz thik time moto delivery dawer jnno n product ta o thik silo sob kicu .tnx ribana😍🥰,1
42,"খুব দ্রুত ডেলিভারি পেয়েছি,,ধন্যবাদ আসল রিভানা প্রোডাক্ট দেয়ার জন্য।
প্যাকেট ইন্ট্যাক্ট ছিল।",1
43,ধন্যবাদ প্রোডাক্ট অল্প সময়ের মধ্যেই পেয়ছি এবং৷ Exp. date ঠিক আছে সব মিলে  ok 👌,1
44,onek valo product.  oily skin er jonno best akta soap . recommended ❤,1
45,"pic e 120gm dewa bt amk 95gm dewa holo keno???
e chara baki sob thik ache expired date o onk besi ace Dec 2022 porjonto ei bepar ta vlo lagce....akhono use korini use korle kmn bakita bujte parbo..",1
46,"oily skin jader tader jonno ata best...ata oil cntrl kore, blackheads rmv krte ar kono tulonai hoina..best best best akta soab❤️❤️r daraz ar sellers dr onk onk dhonnobad product ti pete late krte hoini supar fast ay peye gechi...❤️🥰🥰😍",1
47,Ribana manei organic and best soap within price range. Use korchi onek valo soap. Jader pimple problem ache tara use korte paren. Thanks Ribana. ,1
48,packaging system ta khub e vlo silo...& soap taw ank vlo mone hosse...1st use ai face besh clean lagsilo... thank you Rivana💕,1
49,"Received this love on time. hope to get good results.
thank you daraz and Ribana .keep up the good work",1
50,"#Ribana এর activated Carbon Soap টা আমি প্রায় এক বছরের ও বেশি সময় ধরে ইউজ করছি,খুবই ভালো ফলাফল পেয়েছি, কিন্তু এবার প্রোডাক্ট অর্ডার করার পর ডেলিভারি পেতে একটু টাইম লাগছে এই আরকি 😇",1
51,thanks Ribana and Daraz.the soap is really good for oily skin.😍,1
52,"Got The original  product
And Thanks Daraz for the free delivey",1
53,"Thanks Ribana and daraz..
packaging ta darun cilo😊😊",1
54,Kj hoina not good ,0
55,"বালের সাবান আমার।কোনো কাজের না
হুদাই টাকা গুলা নষ্ট করলাম
পুরা ফালতু
নরমাল সাবানের মতই কাজ করে
কোন বেনিফিট নাই",0
56,Soap original but amr mukhe suit kore ni use korar por mukhe aro choto choto pimple a vore gese. 😥,0
57,this one doesn't work for me. i cut (scratch) my face and body skin by using this :(,0
58,Not good amr face amr face e pimple aro bere gase ata use kore ,0
59,Product টি খুবই ভালো এবং authentic...সময়মতো delivery করা হয়েছে।এই নিয়ে daraz এ আমার ৪র্থ order...এখন পর্যন্ত ভুল বা ত্রুটিপূর্ণ কিছু পাইনি আলহামদুলিল্লাহ।Thanks to Daraz....,1
60,আগেও অনেকবার নিয়েছি।  খুব ভালো প্রোডাক্ট।  ৩৫০ টাকার  প্রোডাক্ট ৩০০ টাকায় পেয়েছি।  ২০২২ সাল পর্যন্ত  ডেট   আছে।  ,1
61,Great Products Indeed.smell is very sweet.recommanded this product.,1
62,Wow smell. Just Fantastic! Original product. ,1
63,khub e v product amr personally use kore onk vlo legese smell teo nice ,1
64,পেকেটের মধ্যে পন্যটি চাপে পড়ে জেল বের হয়ে গেছে।  পণ্য ডেলিভারিতে দারাজের কোন নজর নেই। ইদানিং সব পন্যেরি পেকেট ফাটা চেপ্টা ভাংগা থাকে। আমার মনে হয় দারাজের গ্রাহক সেবার মান খারাপ হয়ে গেছে। ,0
65,Quick delivery. But no expiry date on bottle. lots of dust on bottle. ,0
66," People are concern about Their personal care products. This product should be HYGIENIC  and AUTHENTIC. I purchase Veet Man from DARAZ a few time. Every time I got an ORIGINAL PRODUCT  with a huge discount and prompt delivery. Based on my user experience it’s one of the best hair remover available in the market. It clear very well and No harmful chemical on it. My wife reviewed, I look sexy after cleaning my chest heir. That brings me the ultimate  satisfaction..",1
67,this is i buy for my husband and he use this and satisfied product. thanks daraz for this.my hubby said this product buy again for him.,1
68,Wow! Excellent.. Such a good product at this price. I've used it very well. I'm interested in ordering more. Thanks To Seler And Daraz. ,1
69,"খুবই ভালো প্রডাক্ট ....!!
সঠিক সময়ে ও ভালো বক্সেই প্রডাক্ট হাতে পেয়েছি ...!!
ধন্যবাদ দারাজ বাংলাদেশ ....!!",1
70,"দাম হিসেবে অত্যন্ত ভালো মানের একটি প্রোডাক্ট। ডেলিভারী ও পেয়েছি খুব দ্রুত।
 Love for daraz❤❤❤💓",1
71, অত্যন্ত ভালো একটি প্রোডাক্ট।ডেলিভারি পেয়েছিও খুব দ্রুত। Love for daraz❤❤❤,1
72,"Veet men পুরুষদের জন্য চমৎকার ও নিরাপদ একটি cream...
কোন রকম ব্যথা অনুভব হয়নি,  অত্যন্ত আরামদায়ক ও কার্যকর l মাত্র ৫ মিনিটে কাজ শুরু করেছিল l  cream টি ব্যবহার করার পর আমার খুব ভালো লেগেছে, মসৃণ ও Hair free ত্বক অনুভব করেছি l শরীরের বিভিন্ন স্থানের (Legs, Arms, Underarm region) অপসারণ করা যায়... overall The product is best...  Discount price এ কিনেছি... packaging অনেক সুন্দর ছিল এমনকী delivery ও first ছিল...
এরূপ প্রতাশা কেবলমাত্র Daraz থেকেই আশা করা যায় l ",1
73,"এত কম দামে এই পণ্যটি অনেক ভাল ছিল, খুব কম সময়ের মধ্যে ডেলিভারি পেয়েছি, পণ্যের মান অনেক ভালো,  প্যাকিং অনেক ভালো ছিল, ডেলিভারি বয়ের ব্যবহার অনেক ভালো ছিল,, আপনারা যে কেউ নিঃসন্দেহে এই প্রোডাক্টটি কিনতে পারেন, আমি ১০/  এ  ১০ দিব ।",1
74,"Received the original goods but expiry date is not long
enough. Packing was good and delivery was quickly but
not received the voucher code yet and Hopefully will rec",1
75,পন্যেটি আমার কাছে অনেক বেশি ভালো লাগে  । যার জন্য বার বার কিনি । ভিট এর সৌরভ টাও অনেক বেশি  সুন্দর  ।  ব্যবহার করার পর রিভিউ দিলাম । অনেক বন্ধু কে সাজেস্ট করেছি এটা কেনার জন্য । দারাজ এ এটির দাম কম এবং অনেক সময় ফ্রি ভেলিভারিতে পাওয়া যায় ।  ধন্যবাদ ভিট কে ছেলেদের জন্য এমন একটি পন্য দেওয়ার জন্য । সবাই কিনতে পারেন । ,1
76,Product is original and have enough date of expiration. Thanks Daraz and Veet for free voucher offer. Delivery was very fast. ,1
77,it works properly but it’s smell was so much disturbing. should improve it.,1
78,প্রোডাক্ট এর মান খুবই ভালো। দারাজের চেয়ে কম দামে কোথাও পাওয়া যাবে কিনা জানা নেই। দোকানে গেলে ৯০ টাকার নিচে পাওয়া মুসকিল। নরমাল রেজার ব্যবহার করলে পশম কিছুটা থেকে যায় কিন্তু ভিট ব্যবহার করলে স্কিনটা মসৃন থাকে আর বেশ আরামদক ও বটে। ডেলিভারি পেয়েছি মাত্র ২ দিনে। সব মিলিয়ে খুবই ভালো একটি ডিল,1
79,Product is original and have enough date of expiration. Product quality is good. Thanks Daraz and Veet for free 79tk voucher offer. Delivery was very fast.,1
80,"wow! really fantastic product. 100% authentic. works absolutely fine. smell is also very good. it is my first time use of veet men and became it's fan. really looking forward to use it more. seller service, packaging and delivery everything was good. product has long expire date. About price,it is unbelievably cheap from market. Many Many Thanks to DARAZ and veet to give us opportunity to buy this kind of good  product at this price. just love it for everything. recommended to everyone.HAPPY SHOPPING WITH DARAZ AND VEET.",1
81,দারাজ থেকে একদম ফ্রি ভাউচার ব্যবহার করে এই দুইটি ভিড কিনেছিলাম দুটোই ভালো ছিল এইটা নিয়ে আমার চ্যানেলে ভিডিও করছি ফ্রির মাল ভিডিও লিঙ্ক দিলাম দেখতে পারেন youtu.be/lipQGU1heB8,1
82,Really useful for mens hair removal. like it no pain no irritation ... smooth finish in just 6 minutes 🤩 fan of it ... just veet it 👍,1
83,79 to te peyechi. Market price 90 to. Shathe 100% cashback voucher. Ar ki lage! Product o bhalo. RB er product. Nite pare.,1
84,"অরিজিনাল প্রোডাক্ট, expire date ও আছে অনেক দিনের। ব্যাবহার করেও ভালো লাগছে, প্যাকেজিং অনেক জোশ ছিলো। ",1
85,Thanks seller and Daraz for the free delivery and voucher offer in veet. Product is authentic and had enough date to expire. Price is quite reasonable also. Delivery was very fast.,1
86,haven't used it yet but the product seems good to me..,1
87,"i got this products via voucher for Free.  but, this products isn’t working & not good product. i think It's   very bad cream",0
88,Ami amar contact number ta mistake kore vul die dicilam ar number ta ekta invalid number .To amar question holo delivery man kake product ta dilo.amar mone hoa delivary man product ta mere diche.ami dekhbo daraj er ki solution dea,0
89,"product is free by voucher  but, Don't work properly.  bad products ",0
90, Buy 1 get 1 er package likhsen. R eta ki disen? Ekta veet r 2ta choto oil packet. Eta ki deal chilo? Jottosob batpari. Keu niben na ekhan theke. Fraud ekta seller,0
91, এই রকম ছেড়াবেড়া অবস্থা ভাই। খুবই বাজে খুবই ফালতু। ,0
92,"প্রতারনা করা হয়েছে।😡😡😡
মাত্র দু’মাস সময় আছে।
মেসেজে বলেও দিয়েছিলান লম্বা এক্সপাইরি দেখে দিতে।
তবুও এটা দেওয়ার মানেকি ??!!",0
93,"মোটেও ভালো জিনিস না, ফ্রি জিনিস + ফ্রি ডেলিভারি তাই নেওয়া। কেউ আবার রিভিউ দেওয়ার জন্য কোয়ালিটি চেক করতে যাইয়েন না। ",0
94,expiry date onek e kom..and smell faltu  pura..,0
95,শুধু এটাই পেয়েছি ভিতরের প্লাস্টিকটা পাইনি ,0
96,Below Average ,0
97,টাকাও নষ্ট 😠 সময় ও নষ্ট 😡   প্যাকে লিখা আছে 3 থেকে 6 মিনিট পরে সব ক্লিয়ার হবে। আমি 30মিনিট পর্যন্ত অপেক্ষা  করে আংশিক সাফ করতে পেরেছি। আমার অফিস  এর সময় লেইট হইচে এর জন্য। 3/6 মিনিটে এইটা কাজ করেনা। মিনিমাম 1/1.5 ঘন্টা লাগতে পারে। ,0
98,ফালতু,0
99,অল ক্লিয়ার,0
100,product genuine but temon effective mone hocche na. likhche 3min but 5min o kaj kore na. sei sathe product a smell ta disgusting type a. they need to use perfume.,0
101,"Pure junk. Overpriced and risky for your skin and it might cause a burning feeling on the skin (If you don't follow the instruction) And for your information the product says, you cant use it in your private parts, but the website's poster says it can be used in the private parts also. Deceptive marketing I say. Just buy a good premium razor and a good shaving foam and enjoy shaving. Hair removal creams are the worst. Not worth the money and time. It doesn't even give you a clean look. Small hairs are left. Just junk. Just gave it a try and it was a mistake.",0
102,"Using a vouchar from get via sms , i bought it at taka 0 , but product quality is very poor , don't work well , need to wait over 10 mins to work , and its make a pain where you use ! so if you buy it without vouchar , then think once again ! ",0
103,"এটা এম‌নি‌তেই  80 টাকা ।  হুদাই  অনলাই‌নে  অর্ডার  ক‌রে  হয়রা‌নি  হলাম ।  ADD TO CART ক‌রেও সব পণ্য  একসা‌থে  পাই‌নি ।  য‌দিও  এটা  দারা‌জের  দোষ,   ছ‌বি  পণ্যটা  যতবড়  দেখায়  ততনা, খুবই   ছোট",0
104,Hair removal creams are very harmful to your skin. Never buy them. It darkens your skin. Long-term usage might give you a burn or a bad irritation.,0
105,"After use I must say I am not very happy. The procedure is very messy and stressful. The cream is hard to take off with the spatula even after 5 mins. The result isn't that good also after going through the hassle. Areas are not completely rid of hair even after fair use of cream and the smell! god!

Back to body razor and foams! ",0
106,"If you have thick and dence body hair, avoid this at all cost. My hair was partially removed and started clotting. I had to use a razer to remove the rest of the hair, it was very painful. ",0
107,"didn't used the product yet but looks good

Edit:worst product!and very bad chemical smell..Choto hair and Upper body hair er jnno decent.bt Long hair+lower body hair er jnno valo na..Disappointed ",0
108,ছেলেরা এটা না কিনে লেজার জাতীয় কিছু কিনেন এটা একবার এর বেশি ব্যবহার করা যায়না যারা প্রডাক্ট ভালো না ,0
109,very very bad প্রোডাক্ট. একটা চুলও ওঠেনাই। বালের ক্রিম দিয়ে বাল উঠেনাই 😠😠😠😠,0
110,Not working at all. Even I applied it for 10-12 minutes. But the result was zero.,0
111,আজব বিষয়  আমি তো এটা পইলাম না৷ কিন্তু আপনার রিভিউ  চাচ্ছেন  এটা কি অটো বাস না কি ,0
112,"আলহামদুলিল্লাহ,❤️ দারাজ থেকে এই সেকেন্ড বার,আবার ও অডার করে,  এখনো ভালো প্রোডাক্ট এই পাইলাম। প্রথমবার  আর এখন দুটোই ভালো প্রোডাক্ট পাইসি, আবারো ধন্যবাদ দারাজকে।🌹❤️,
ভেবেছিলাম যে শুধু Veet দিবে। কিন্তু, দারাজ আমাকে VEET এর সাথে দুটো প্যারাসুট তেল ও দিল।  তার জন্য থ্যাংকস ফর দারাজ ❤️❤️❤️",1
113,"buy 1 get 1 offer e buy kora..😋😋😋
dec 2021 porjonto meyad ase..",1
114,nice packing ..asa kori valoi hoby..,1
115,"Got this product on my hand within two days.
Was my first order from daraz
Was really good experience and the product came in a good shape, you can order without any hesitation 
I am satisfied 💯",1
116,Khuv packejzing Chilo ebong Inek First Deliveri dise Thank you daraz ebong Thank you Dhonnibad Selar ke.,1
117,Veer men is really useful for mens hir removal. I just like it no pain no irritation ... smooth finish in just 6 minutes 🤩 fan of it ,1
118,একটার দামে দুইটা ভালোই তো এরপরে নিলে এটাই নেব আপনারা চাইলে নিতে পারেন অরিজিনাল প্রডাক্ট ধন্যবাদ,1
119,so good product. ,1
120,2021 সালে উৎপাদিত হলে ভালো হতো😑 ডিসেম্বরে মেয়াদ শেষ এখন confusion আছে🤔🤔🤔🤔 তবে মনে হচ্ছে প্রোডাক্ট ভালো,1
121,"প্রোডাক্টই ভাল ছিল🥰
সময়মতো পেয়েছি☺️
একটি কিনলে একটি ফ্রি অফার ছিল😊

প্রোডাক্টটি অসাধারণ☺️
সেলার ভাইকে ধন্যবাদ🥰",1
122,"একটার সাথে আরেকটা ফ্রি পেয়ে আমি অত্যন্ত খুশি।প্রোডাক্ট টা মেয়াদ সব কিছুই ঠিক আছে।
যারা কিনতে চান নিয়ে নিন।ভালো হবে",1
123,"This product is highly recommended
This is too good 😊😊
Sobair eta neoa uchit 🙂
Tnx to daraz and Veet for this amazing product☺☺      ",1
124,This product was very very good(after use). Fully satisfied in packaging. they use 2way packaging it's very appreciate.,1
125,"আসসালামু আলাইকুম!
প্রোডাক্ট-টি আজকে রিসিভ করলাম,অন্যান্য শপ থেকে আগে যতো নিয়ে ২-৩ দিনের বেশী সময় লাগে নি!
তবে সে জায়গা থেকে এইবার একটু বেশীই সময় লেগেছে!

বাকি সকল কিছুই ঠিক ছিলো,যেমন চেয়েছি আলহামদুলিল্লাহ তেমনই পেয়েছি!

ধন্যবাদ দারাজ,ধন্যবাদ সেলার!",1
126,Received original product with BOGO offer and fastest delivery within 2 days. Thanks to seller and Daraz.,1
127,"buy 1 get 1 offer e buy kora..😋😋
meyad ta aktu kom.. dec 2021 porjonto 
baki sob thik-thak..",1
128,"প্যাকেজিং বরাবরেই মতই ঠিক ঠাক ছিল। 
মেয়াদ ও পর্যাপ্ত রয়েছে। ",1
129,জিনিস ঠিক ঠাক মতই হাতে পেয়েছি। সব কিছু ঠিকই আছে। ধন্যবাদ।,1
130,Nice Product 👍,1
131,"Overall Good Enough, Satisfied ✌🏻",1
132,i got the product same just like the picture thanks but i must say it smells so bad 🤢 well it's the product can do nothing ,1
133,এটা আমার ফাস্ট অর্ডার ছিলো। খুব ভালো লাগলো।সেলার এর ব্যবহারও ভালো ছিলো। তবে একটু বেশিই দেরি করে দিয়েছে। but its ok....😊. take love ❤️❤️❤️,1
134,Alhamdulillah onak valo & mayad o basi asa.2 ta matro 90 takay payasi & sob thik asa. ja sudu daraz ai sombob.Thanks daraz.,1
135,"Product ta thik e ache, valo motoi kaj kore, experience  khub e valo chilo, asha kori kono side effect hobe na.",1
136,Very fast delivery direct to my doorstep! Product was great... just a tip for you guys: This product will take more time than 10 minutes to work properly! and if you have thick hair you have to use more amount of this cream! Overall nice but ultimately you’ve to use a razor 🪒 but that will be easiler and smoother after using this cream! Thank you daraz for your excellent service 🤩,1
137,"i am very disappointed. daraz is a band.why daraz is selling products, which one doesn't have proper expiry date schedule. daraz should sell product which one has enough date line.",0
138,"এ কি ধরনের ভুল ,,,আমি দুটি নিম  সাবান অর্ডার করলাম ,,আর আপনারা আমাকে একটি সাবান কেন দিলেন😠,,,আমি অগ্রিম পেমেন্ট ও দিয়ে দিছি,,,",0
139,"I order veet hair removal cream but daraz give me KN95 mask. What the fuck is this happened!!
Don’t order this product ",0
140,veet men hair removal only has 4 months expiry date ! it shouldn't be acceptable! ,0
141,The quality of this product is very poor. I'm not satisfied with it at all,0
142,"দারাজ আমার দেখা সবচেয়ে  বড়  প্রতারক,এমন প্রতারক  আমি আর দেখিনি।ছবি তে মনে হচ্ছে বড় প্যাকেট। কিন্তু পন্য পেলাম মিনি প্যাক।দারাজ কে সবাই বয়কট করুন।",0
143,it's not that greate i applied and wated for 6 min and it did a lot bt still dharalo ekta feeling thekei jay sob jaygar hair jaite chayna and i tried on my butt and it didn't do it properly i would try wax bt this is a no for me,0
144,"পন্য হাতে পেলাম না কিন্তু ডেলিভারি দেখাচ্ছে 
কারন টা কি আমি টাকা বিকাশ এ পেমেন্ট করে ফেলে ছি
এখন কি করবো হা।",0
145,"একদম নিম্ন মানের প্রোডাক্ট
যে কাজে ব্যবহার করার কথা সে কাজের জন্যে একদম উপযুক্ত না এটা ",0
146,its not working properly...waste of money use razor is far better,0
147,"ঠিকঠাক ভাবে তেলটা পেলাম।প্যাকজিং কন্ডিশন ভালো।ভালো রিভিও দেখে নিলাম। এখন ব্যবহার করে বোঝা যাবে কতটুকু ভালো।ভালো হলে অব্যশই আআর অর্ডার দেওয়া হবে।এমনিতে দেখে মনে হয় নাই,খারাপ হবে।",1
148,"2nd time order korlam cash back + voucher diye 248 taka porece.  
product quality : 10/10",1
149,"আলহামদুলিল্লাহ RIBANA  থেকে প্রথম অর্ডার দিলাম, এবং প্রোডাক্ট টা খুবই ভালো 😇",1
150,"1 week er moto holo use korlam🙂bhaloi laglo❤️castor oil, coconut oil, almond oil er sathey mix kore use korle bhalo result pawa jai. ",1
151,Packaging khub valo chilo. 2 din er moddhei product peye giyechi. Thank you Daraz. Ami coconut oil and olive oil mix kore chule diyechi and khub valo result peyechi. Thank you Ribana.,1
152,খুবই ভালো প্রোডাক্ট। বেস্ট সেলার। সবাই নিতে পারেন। ,1
153,The product is really good . Original and fresh. Happy user of Ribana Olive Oil 🙂,1
154,"Olive oil is much better. If you want to buy, you can buy with confidence.",1
155,Let's hope the product has been used one day. Thanks daraz and seller.,1
156,রিবনার নারিকেল তেল ও কেস্টর অয়েল আমি আগে থেকেই ব্যাবহার করে অনেক ভালো ফল পেয়েছি। তাই অলিভ ওয়েল টাও নিয়ে নিলাম। আশা করি এটা থেকেও আমি ভালো ফল পাবো।,1
157,product vlo ei dice..expired date o onk ace Dec 2022 porjonto...fb ta onk review dekhe 1st time nilam akhn use Kore dekhi kmn folafol pai😊,1
158,Amazing products! The smell of the oils are incredible and works great in hair and skin. On time delivery. 😁😁,1
159,"প্রোডাক্ট ভালো, প্যাকেজিংও ভালো আর সঠিক সময়ে চলে আসছে।
ধন্যবাদ",1
160,"product er quality onk vlo, olive oil ta diya oil cleansing kore onk vlo legese. recommended ❤️",1
161,1st time daraz theke product oder korechilam. sob kichu perfect vabe peye chi Alhamdulillha ,1
162,Really Good product 😊 ,1
163,"Quality Product.
Nice Packaging.
Early Arrived.
Thanks Seller 😊",1
164,packaging was good...enough date..hope the quality will be good,1
165,Ribana is ❤️.. Packaging was also good.. Thanks daraz 😊. ,1
166,"যেমন দেখে অর্ডার করেছি তেমনই পেয়েছি।
২ দিনেই হাতে পেলাম।
ধন্যবাদ।",1
167,Thank You Ribana,1
168,Use korle bujte parbo.. Jodi chuler jonne kaj hoy,1
169,ভাল প্রডাক্ট! অনেকদিন ব্যবহার করেই রিভিউ দিলাম। ,1
170,Good product. ,1
171,"Given me a faulty bottle with the misplaced lid/Cap. when I complain about it , telling me use cutter to open. How come is it possible to open a misplaced cap by a cutter ?? Surprised by the seller advice. I am very disappointed. ",0
172,"Ordered Coconut Oil, Olive Oil, Saffron Goat's milk Soap but what they delivered! 
Wrong product delivered. Kindly take necessary steps!",0
173,I didn’t get my products. and also not a single call from delivery man.  But it is showing my products got delivered. It was a pre payment order. Then I contact the customer care on the 5th day after the app showing products got delivered and they Didn't help me in this fact. They said I'm contacting after 3days. That's why they can't help me. ,0
174,"অলিভ অয়েল চেয়েছিলাম, পেলাম স্বাধ, গন্ধহীন কোন এক নারকেল তেল, খুব খারাপ লাগলো এখনো অনলাইন বিশ্বাস ও যোগ্যতা অর্জন করতে পারল না বলে। ",0
175,"তেলটা মাথায় দিলে মাথা প্রচুর ব্যথা করে। এর আগে অনেক ব্রান্ড এর অলিভ অয়েল ব্যবহার করেছি, কিন্তু এমন সমস্যা হয়নি।
এবং, বোতল এর কোয়ালিটি খুবই নিম্নমানের। ",0
